,0,1,label
18,-0.375711443,-1.779317794,5
27,0.089864024,-1.675011504,5
28,0.089864024,-1.675011504,5
33,0.271428051,-1.850312257,5
35,0.043208771,-1.352895336,5
37,-0.919548887,-0.309378782,5
39,-0.706911406,-1.356409297,5
42,-0.815752471,-1.12233408,5
43,0.137891365,-1.902256922,5
47,0.43932003,-1.520169735,5
49,0.106551931,-1.671183764,5
50,0.319276708,-1.773722227,5
52,-0.59826555,-0.291162963,5
53,0.341075939,-1.165354693,5
58,-0.005188673,-0.37050566,5
59,0.093324665,-0.641342859,5
66,0.112114566,-1.669907851,5
67,0.290568685,-0.387468677,5
105,-1.021039262,-0.345251332,5
106,-0.094306137,-0.597348383,5
107,0.043982919,-0.225461793,5
108,0.197459669,-0.939888297,5
115,-0.936067987,-0.561640905,5
116,-0.854056463,-1.166800994,5
119,-0.379637491,-0.271756919,5
123,0.46902709,-1.158184766,5
124,-0.303104459,-0.738814702,5
134,0.522361804,-0.301838612,5
136,0.063055851,-0.157723717,5
137,-0.086300206,-1.47457162,5
138,0.337429243,-0.817737149,5
160,-0.716492095,-0.861762409,5
173,0.029221638,-1.643305272,5
176,-0.672634502,-0.710407747,5
182,-0.029704707,-0.901947419,5
184,0.495655176,-1.518757531,5
187,0.377797515,-1.501993008,5
188,0.162603356,-0.870990024,5
191,0.371629162,-0.656811481,5
192,0.546758736,-0.815163786,5
202,0.157162257,-1.613959268,5
253,-0.178441456,-1.362985456,5
254,-0.847294576,-1.178966522,5
255,-0.600474765,-0.638203791,5
256,0.012533731,-1.647133011,5
257,0.123786444,-1.621614748,5
258,0.49839925,-0.659847311,5
262,-0.22490066,-0.561817511,5
263,0.059939697,-0.730962976,5
264,0.074862042,-1.675968826,5
266,0.108237855,-1.668313347,5
267,0.582804112,-1.169343195,5
268,0.10267522,-1.66958926,5
269,0.295201491,-1.835460753,5
271,0.108237855,-1.668313347,5
272,0.197836211,-0.353995448,5
276,-0.81870363,-0.653531939,5
277,0.113800491,-1.667037434,5
288,-0.770078534,-1.802843606,5
301,-0.449165024,-1.753033806,5
303,-0.603608164,-1.806753802,5
309,0.134425162,-1.447798307,5
312,0.165285821,-1.321501496,5
314,0.252430727,-1.328833736,5
315,0.101887733,-1.495000896,5
317,0.254287991,-1.301086885,5
321,-2.224188465,0.540441637,5
324,0.050977628,-1.171450111,5
349,0.172335578,-1.588125513,5
358,0.002131709,-0.657292549,5
373,-0.07574519,-0.675155333,5
380,-0.6709472,-0.811678045,5
381,-0.598632937,-0.795091173,5
383,-0.259312165,-0.717260469,5
391,0.163646944,-0.349520719,5
393,-0.400460208,-1.397710125,5
398,-0.340715319,-0.49767053,5
399,-0.020118834,-0.662396201,5
405,-0.092433096,-0.678983073,5
407,-0.059057283,-0.671327594,5
408,-0.014556198,-0.661120288,5
409,0.10225915,-0.634326111,5
414,0.091133879,-0.636877938,5
415,0.091133879,-0.636877938,5
416,0.25821175,-0.327830195,5
417,0.274899657,-0.324002455,5
418,0.036887388,-0.368660967,5
421,-1.728068709,0.589734255,5
432,0.235961207,-0.332933848,5
433,-0.740850038,-0.08707919,5
440,0.007694345,-0.656016636,5
444,-0.21481108,-0.707053163,5
448,0.215901451,-0.342502422,5
450,-1.011639375,-0.7506495,5
452,-0.684325963,-1.487658131,5
456,-0.440534169,-0.525431837,5
458,0.01325698,-0.654740722,5
464,-0.113190014,-1.330909307,5
466,-0.12636082,-1.654154408,5
467,0.138024553,-0.360365206,5
470,0.052195429,-0.64580933,5
471,-0.403940691,-0.750434212,5
472,-0.059057283,-0.671327594,5
473,0.006136518,-0.770522994,5
476,0.270290542,-1.396764878,5
477,-0.458531236,-0.427829392,5
481,0.020487231,-0.814523668,5
530,-0.086513503,-0.820771592,5
546,-0.269242093,-0.902423838,5
548,0.058962563,-0.745180321,5
575,-0.364481722,-1.045796171,5
577,-0.516282764,-1.70724497,5
604,0.595972265,-1.306985384,5
640,0.154231033,-0.460054789,5
650,0.380966377,-0.383035976,5
652,-0.793739841,-1.836935293,5
663,-0.39857951,-1.480815935,5
665,-1.118409188,-1.480498176,5
666,-0.18740456,-1.993347649,5
673,-0.207522153,-0.545689502,5
674,-0.272433449,-0.801323601,5
675,0.190822072,-1.87769753,5
680,0.26077421,-1.88152217,5
681,-0.259881109,-1.283677596,5
682,0.264978883,-0.427201186,5
684,-0.199962127,-0.567042998,5
685,0.470505057,-1.508049334,5
686,-0.239821353,-1.274109022,5
687,0.339006534,-0.161849983,5
688,0.125097101,-1.639609174,5
700,0.108742717,-1.675648686,5
701,0.120544189,-1.655555765,5
718,-0.364894985,-1.290378852,5
720,-0.101301967,-1.957121189,5
728,-0.438474132,-0.879148107,5
729,-0.426836221,-0.697826266,5
731,-0.752919197,-1.827673953,5
732,-0.053078577,-1.705314829,5
733,-0.061266378,-0.830791948,5
734,0.327287609,-1.184994281,5
736,-0.108284115,-0.805793681,5
737,0.104361144,-1.666718843,5
743,0.308336058,-1.083298938,5
746,-0.152108879,-0.610883419,5
748,0.330112852,-1.224994724,5
750,0.326398325,-1.280488425,5
751,0.085987313,-1.673417,5
752,0.097112584,-1.670865173,5
755,-0.012791911,-0.277314703,5
756,0.03067362,-0.215175953,5
757,-0.063891186,-0.236866477,5
758,-0.075016457,-0.239418304,5
759,0.278008723,-1.831953153,5
760,0.187959157,-0.414978655,5
761,-0.052765914,-0.234314651,5
762,0.098798509,-1.667994756,5
763,0.22133497,-0.407323175,5
764,-0.002702194,-0.222831432,5
765,0.036236255,-0.21390004,5
766,0.490190487,-0.410140996,5
784,-0.383594682,-1.266336358,5
792,-0.496643107,-1.019159822,5
798,0.092658154,-1.560877169,5
799,0.092658154,-1.560877169,5
801,-0.110545265,-1.477750821,5
802,0.253020788,-1.878333162,5
803,-0.015826053,-1.699253854,5
804,-0.078855376,-1.472965759,5
806,-0.13689106,-0.740254478,5
808,-0.16884896,-1.314780417,5
811,0.005988836,-1.387844333,5
814,0.27527133,-1.873229509,5
815,0.406588769,-0.372191489,5
826,0.01367305,-1.690003871,5
829,0.044217118,-1.263425298,5
833,0.117784303,-0.476774852,5
835,0.047361527,-0.211348213,5
843,0.280833966,-1.871953596,5
844,0.280833966,-1.871953596,5
855,-0.137601227,-0.624766835,5
864,-0.786253368,-1.113084097,5
870,-0.754759528,-1.587350812,5
874,0.073690134,-1.604209944,5
877,-0.878626232,-0.761788011,5
881,0.030108448,-0.812141903,5
882,-0.338090154,-1.373469324,5
884,0.000366147,-1.606126138,5
885,0.246114905,-1.832726626,5
886,-0.599122244,-0.415545129,5
887,0.02769012,-1.889369247,5
888,-0.405414909,-0.571210865,5
889,-0.285485191,-1.130592807,5
890,-0.570138433,-1.045952449,5
891,-0.260213255,-1.355606539,5
893,0.23245617,-1.880566397,5
894,-1.067732259,0.07218496,5
895,0.21628228,-1.809764838,5
896,0.466156074,-1.528007514,5
897,-0.100051798,-0.978776184,5
900,-0.307852145,-0.668785065,5
901,0.005792685,-1.197727391,5
903,0.254706712,-1.875462745,5
904,0.22011222,-1.360266551,5
905,0.108995071,-0.808949795,5
906,0.15721846,-0.557143436,5
908,-0.077331635,-1.413007137,5
909,-0.179200926,-1.069715839,5
920,0.254945882,-1.447475067,5
921,0.083199963,-0.740530001,5
927,-0.460201503,-0.727657822,5
928,-0.082914853,-1.282324349,5
929,-0.256969624,-1.425806237,5
930,-0.945343773,-0.722551234,5
932,-1.043640037,-1.06780545,5
934,0.097112584,-1.670865173,5
935,-0.277407401,-1.247958225,5
936,0.193517721,-1.88949779,5
937,0.085987313,-1.673417,5
938,-0.167650863,-1.705673389,5
939,-0.451250086,-0.452571084,5
940,0.243581441,-1.878014571,5
941,-0.06604418,-1.467543515,5
943,-0.061764738,-1.202379261,5
944,0.069334647,-1.245245472,5
947,0.097112584,-1.670865173,5
948,0.12122039,-1.63801467,5
949,-0.278177955,-0.80529987,5
950,-0.354280976,-1.570737755,5
951,-0.074088004,-1.483206835,5
952,0.3786359,-1.541540118,5
955,0.186057019,-0.862392561,5
956,-0.268778975,-0.962835792,5
957,0.08670791,-1.141912,5
958,-0.053078577,-1.705314829,5
959,-0.673509505,-0.998719189,5
960,0.052611499,-1.681072479,5
962,-0.033230963,-0.664494696,5
963,-0.124690553,-1.354325977,5
964,0.173364988,-1.543007629,5
965,0.173364988,-1.543007629,5
966,-0.565588275,-0.821724429,5
967,-0.021471235,-0.697478391,5
969,0.136885234,-0.317494347,5
970,-0.002942997,-0.933973792,5
972,0.289133994,-1.829401327,5
974,0.251252317,-0.878152202,5
975,-0.40121082,-0.507967812,5
976,0.461936685,-1.576165876,5
977,0.052611499,-1.681072479,5
978,-0.187804981,-1.505203345,5
979,0.23098598,-1.344596476,5
980,-0.243592238,-0.645685436,5
981,-0.227288753,-0.744687178,5
982,0.189558463,-0.884851909,5
983,0.361253483,-1.726838228,5
984,0.361253483,-1.726838228,5
985,-0.333965247,-1.302848817,5
986,0.466457007,-1.531331263,5
988,0.274607878,-0.238714068,5
989,0.113800491,-1.667037434,5
990,0.28251989,-1.869083179,5
991,0.366816119,-1.725562315,5
992,0.314425514,-1.325457779,5
993,0.6331922,-1.272036387,5
996,0.045543432,-1.578377738,5
997,0.010841304,-1.271080777,5
998,-0.010219021,-1.184014036,5
999,0.06373677,-1.678520652,5
1000,0.01640394,-1.269804864,5
1001,0.173638458,-1.792225293,5
1002,-0.138358443,-1.484130387,5
1003,0.044217118,-1.263425298,5
1004,-0.358029905,-0.279857395,5
1005,-0.022038802,-1.368036233,5
1006,-0.27688423,-1.091364288,5
1007,0.049779753,-1.262149385,5
1008,0.344394238,-1.755542401,5
1009,0.060905025,-1.259597559,5
1010,0.055342389,-1.260873472,5
1011,0.28251989,-1.869083179,5
1012,0.014203999,-1.347304581,5
1013,0.116594621,-1.552903099,5
3,-7.018775258,-2.079455014,4
5,-5.193101963,0.247017298,4
71,-3.727064152,-0.388899074,4
77,-4.729706677,-2.264223855,4
81,-4.523555858,-1.767634593,4
142,-3.542922987,0.132417726,4
155,-4.745722872,1.962743747,4
218,-4.756051197,-0.961699508,4
219,-6.749848539,-0.115656658,4
222,-4.093507502,-0.460809075,4
237,-4.174152322,0.766566452,4
285,-8.182543238,0.389906402,4
357,-3.421823171,-0.07979325,4
427,-4.796145224,-0.313704674,4
428,-6.428248509,-1.066891321,4
502,-5.804647751,-2.545557289,4
36,-6.671185253,7.671062891,3
64,-4.928364901,5.663364573,3
620,-5.863476533,7.68337315,3
0,-2.553065202,0.109349867,2
2,-1.924909498,0.954690197,2
4,-1.710193577,-1.201456862,2
12,-2.103894066,0.273903471,2
13,-1.903827797,0.320905695,2
21,-2.851677105,-1.589318307,2
25,-1.216051626,-0.400577555,2
26,-1.80914911,-1.296182182,2
