"comm_id","comm_name","comm_age","sso","migration","exec_spsr","acct_geo","plat_tier","gold_tier","silv_tier","#_lang","#_features","enabled","case_count"
"a0C00000000DgKR","HP The Next Bench",7.98,1,0,1,"NA",1,0,0,6,6,1,147
"a0C00000002oNxA","Spotify Ltd LSW",2.14,0,0,1,"EMEA",1,0,0,1,0,1,208
"a0C0000000242LU","Sony Electronics",3.45,0,0,1,"NA",0,1,0,2,8,1,263
"a0C00000000Dguo","HP Consumer Support Forums - English",7.92,1,0,1,"NA",1,0,0,1,6,1,1133
"a0C00000000ESr2","HP Consumer Support Forums - German",6.36,0,0,1,"NA",1,0,0,2,2,1,311
"a0C00000000Dfyz","National Instruments",8.01,1,0,1,"NA",0,1,0,8,7,1,525
"a0C00000001LOU2","British Sky Broadcasting - Movies (Now TV)",4.24,1,0,1,"EMEA",1,0,0,1,8,1,173
"a0C00000003N7mV","Capital One",1.12,0,1,1,"NA",0,1,0,1,3,1,19
"a0C00000002Vzza","Telstra LSW",2.86,0,0,1,"APAC",1,0,0,1,0,1,186
"a0C00000002mJh2","HSN",2.44,1,0,1,"NA",0,1,0,1,3,1,77
"a0C00000001OOGl","Leroy Merlin France",4.14,1,0,1,"EMEA",1,0,0,1,10,1,146
"a0C00000002mzrd","Brocade Communications Systems Community",2.35,0,0,1,"NA",1,0,0,1,9,1,180
"a0C00000001C5zH","Spotify",4.41,1,0,1,"EMEA",1,0,0,1,7,1,326
"a0C000000014Z8U","Helsana",4.52,0,0,1,"EMEA",0,1,0,3,5,1,282
"a0C00000003Mt4v","HP EMEA Business Now",1.36,1,0,1,"NA",1,0,0,4,2,1,112
"a0C00000002vlQH","Telstra Insight",1.82,0,0,1,"APAC",1,0,0,1,11,1,19
"a0C00000003NdRa","Decathlon UK",0.65,0,1,1,"EMEA",0,1,0,1,4,1,6
"a0C00000003NBnB","HP Consumer Social Care LSW",1.09,0,0,1,"NA",1,0,0,1,0,1,18
"a0C00000000Dg4n","Palm",8,0,0,1,"NA",0,0,0,1,1,0,88
"a0C00000002yW0Y","T-Mobile Slovakia/Slovak Telekom",1.6,1,0,1,"EMEA",0,1,0,1,2,0,33
"a0C00000002yap1","Achmea LSW",1.59,0,0,1,"EMEA",1,0,0,1,0,1,40
"a0C00000000Dfyp","Future Shop - English",8.01,0,0,1,"NA",0,1,0,1,4,1,449
"a0C00000003NZhu","MultiChoice LSW",0.82,0,0,1,"EMEA",1,0,0,1,0,1,15
"a0C00000002yap6","Achmea",1.59,0,0,1,"EMEA",1,0,0,1,7,1,100
"a0C00000002VYj5","Best Buy LSW",2.87,0,0,1,"NA",0,1,0,1,0,1,58
"a0C00000000Tc50","Home Depot",5.55,0,0,1,"NA",1,0,0,1,5,0,192
"a0C00000000EDuD","HP Consumer Support Forums - Portuguese",6.65,0,0,1,"NA",1,0,0,2,2,1,320
