comm_id,comm_name,comm_age,Community Shutdown Date,Estimated Renewal Date,sso,migration,exec_spsr,acct_geo,sppt_tier,plat_tier,gold_tier,silv_tier,#_lang,Account: Type,Blogs,Contests,Ideas,LevelUp,Mobile,ActiveCast,Moderation Manager,Premium Gamification,Lithium Q&A,Ratings & Reviews,TKB,Salesforce.com,Video,SSO (Lithium),#_features
a0C00000002yW0Y,T-Mobile Slovakia/Slovak Telekom,1.60,1/31/16,7/31/15,1,0,1,EMEA,Gold,0,1,0,1,Canceled Customer,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
a0C00000002yW0T,T-Mobile Hungary / Magyar Telekom,1.60,8/31/15,8/31/15,0,0,1,EMEA,Gold,0,1,0,1,Canceled Customer,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3
a0C00000000EDUz,AT&T ABS Networking Exchange,6.67,,,0,0,1,North America,NA,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
a0C00000000DjJ6,AT&T Business Direct,7.65,,,0,0,1,North America,NA,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0C00000000Eve0,3M Ideas,6.19,3/14/12,,0,0,1,North America,NA,0,0,0,1,Canceled Customer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
a0C00000000GG1z,3M - IATD,5.79,6/6/12,,0,0,1,North America,NA,0,0,0,1,Canceled Customer,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
a0C00000000EAnu,AT&T- DSL Customers,6.74,,,0,0,1,North America,NA,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0C00000000DgCS,AT&T U-Verse,8.00,3/14/12,,0,0,1,North America,NA,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0C00000000Dg4n,Palm,8.00,12/19/12,,0,0,1,North America,NA,0,0,0,1,Canceled Customer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
a0C00000000jO0d,InVision,4.90,6/30/13,,1,0,1,EMEA,NA,0,0,0,5,Canceled Customer,1,0,1,0,1,1,0,0,0,0,1,0,0,1,6
a0C00000000V3up,24 Hour Fitness,5.20,6/15/13,,0,0,1,North America,NA,0,0,0,1,Canceled Customer,1,0,1,1,1,0,0,0,0,1,0,0,0,0,5
a0C00000000E4pr,Betfair TVG Community,6.94,12/31/12,,0,0,1,North America,NA,0,0,0,1,Canceled Customer,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
a0C00000000w2xi,coUNDco,4.64,8/31/12,,0,0,1,EMEA,NA,0,0,0,1,Partner,1,0,1,0,1,1,0,0,0,0,1,0,0,0,5
a0C00000000GZeJ,We Are Teachers,5.68,9/25/12,,1,0,1,North America,NA,0,0,0,1,Canceled Customer,1,0,1,0,1,0,0,0,0,0,1,0,0,1,5
a0C00000000V0Nk,Home Depot Garden Club,5.21,11/1/12,,1,0,1,North America,Platinum,1,0,0,2,Canceled Customer,1,0,1,0,1,1,0,0,0,0,1,0,0,1,6
a0C00000000Tc50,Home Depot,5.55,,4/11/14,0,0,1,North America,Platinum,1,0,0,1,Canceled Customer,1,0,1,0,1,0,0,0,0,0,1,0,1,0,5
a0C00000000Dfyk,Dell Brazil,8.01,,,0,0,1,North America,NA,0,0,0,1,Canceled Customer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
a0C00000000Dfyb,Dell Korea,8.01,,,0,0,1,North America,NA,0,0,0,1,Canceled Customer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
a0C00000000DfyG,Dell,8.01,,,0,0,1,North America,NA,0,0,0,1,Canceled Customer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
a0C00000001C5zH,Spotify,4.41,,10/29/15,1,0,1,EMEA,Platinum,1,0,0,1,Customer,0,0,1,0,1,1,1,1,0,0,1,0,0,1,7
a0C00000002oNxA,Spotify Ltd LSW,2.14,,10/29/14,0,0,1,EMEA,Platinum,1,0,0,1,Customer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0C61000003AxWV,Boeing Employees Credit Union,0.07,,,0,0,1,North America,Gold,0,1,0,1,Customer,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4
a0C00000003MuzU,Standard Life,1.34,,10/24/15,0,0,1,EMEA,Silver,0,0,1,1,Customer,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4
a0C00000002yap6,Achmea,1.59,,7/18/17,0,0,1,EMEA,Platinum,1,0,0,1,Customer,1,1,1,1,1,0,0,1,0,0,1,0,0,0,7
